#,100 Razónes por la que te amo
1,Que eres cariñosa conmigo cuando estas a mi lado
2,Porque eres una persona sincera en todo momento.
3,Me encantan tus ojos y cómo brillan
4,Me gusta mucho la forma de tu carita
5,Tus abrazos que me dan energia
6,Tus labios y la forma en que sonríes.
7,Por esa mirada ingenua y dulce que me das.
8,Estar a tu lado y sentir tu calor
9,Por tu amor puro y genuino.
10,Por tus intenciones de comprender cómo te amo yo.
11,Por tu forma tan única y calmada de amar.
12,Tu voz son las melodías que quisiera escuchar todas las mañanas al despertar
13,Por la seguridad que transmites.
14,Por tu inmenso amor por los gatos.
15,Por tu ternura que me das
16,"Por tu compañía, que me hace sentir que no estoy solo."
17,Por tu manera de decidir quedarte conmigo.
18,Por tu hermosa sonrisa 
19,Por tener un corazón noble y bondadoso.
20,Por tus besitos (los que guardo y los que vendrán).
21,Por tu cabello y lo bien que te queda.
22,"Porque eres, sin duda, el ""amor de mi vida""."
23,Por lo valioso que es pasar tiempo contigo.
24,Tu amor sincero
25,"Porque cuando te mostré mis problemas, supiste comprenderlos."
26,"Porque cuando supiste que mi forma de amar era diferente, me comprendiste."
27,Por el simple placer de escucharte hablar por horas.
28,Por tus detalles y tus regalos que guardo con cariño.
29,"Cuando haces contacto físico conmigo, aunque no sea tu forma principal de amar."
30,Porque eres observadora y notas cosas que otros no ven.
31,"Por tus defectos; para mí no los tienes, pero si los tuvieras, los amaría igual."
32,"Por la forma en que me dices ""amor"""
33,Porque confías en mí plenamente.
34,"Por cómo calmas mi ""intensidad"" cuando me pierdo en mis pensamientos."
35,Porque me das paz en medio de mi caos
36,Porque un mensaje tuyo puede cambiar mi día por completo
37,Porque para mí eres la mujer más hermosa que existe
38,Tus manos y lo hermosas que son
39,Porque tuviste el valor de volver a buscarme después de dos años.
40,Porque nuestra conexión no se rompió con el tiempo
41,Por los recuerdos que compartimos en el pasado
42,Por la valentía que tuviste al escribirme de nuevo
43,"Por el ""ME GUSTAS TÚ"" que me escribes en mayúsculas resaltando lo que sientes"
44,"Por cada ""buenos días"" y ""descansa"" que nos enviamos con cariño"
45,Porque nuestra historia aún tiene muchas páginas en blanco
46,Por el apoyo incondicional que me das en todo lo que hago.
47,Por tu forma de ver la vida con calma
48,Cuando muestras tu cariño como yo lo hago
49,Por cómo te preocupas por mí cuando no me alimento bien
50,Por cómo me compartes tus aficiones por la música de Monsta X y Astro
51,Por la forma en que te emocionas con tus grupos favoritos
52,Porque me haces querer aprender sus canciones solo para entenderte mejor
53,Por la forma en que te emocionas al ver tu anime favorito One Piece.
54,"Porque cuando ves un gato en la calle, te emocionas"
55,Porque compartimos el mismo cielo aunque estemos lejos ahora.
56,Porque eres mi mayor motivación
57,Porque me haces sentir que estás aquí a mi lado
58,Porque eres lo primero en lo que pienso al despertar
59,Por los planes que hacemos para cuando por fin nos veamos
60,Porque me enseñaste que el amor de verdad no tiene límites
61,Por ese audio que me enviaste y que escucho una y otra vez.
62,Por los videos cortos que me enviaste y que veo a cada rato
63,Porque no me juzgas cuando me equivoco y me ayudas a aprender.
64,Por tu forma de decirme las verdades aunque a veces me cueste escucharlas
65,Porque eres mi equilibrio cuando estoy muy estresado
66,Porque me permites cuidarte y estar para ti
67,"Por cómo me haces sentir especial con un simple ""corazón"""
68,Por la tranquilidad que siento cuando sé que estás bien y feliz.
69,Porque después de dos años me di cuenta de que nadie te puede reemplazar
70,"Porque eres, sin duda, el capítulo más bonito de mi historia."
71,Porque aceptaste volver a intentarlo conmigo y darme una oportunidad
72,Porque simplemente eres Tú y eso es más que suficiente para amarte
73,Por haberme dicho que me eliges porque quieres amarme
74,Porque tu amor inconsciente siempre volvió a elegirme
75,Por la sinceridad que tuviste al contarme tus miedos de hace tiempo
76,Por haberme quitado el miedo a tu pasado con tu honestidad
77,Por la forma en que confías en que podemos construir un futuro juntos
78,Por las ganas que le pones a nuestra relación a pesar de la distancia
79,Porque eres mi refugio seguro después de un día cansado
80,Por la paz que me da escuchar tu respiración en nuestras llamadas
81,Por la madurez con la que manejas nuestros sentimientos
82,Por ser la persona con la que quiero compartir mis logros
83,Por enseñarme que el amor es una decisión valiente
84,Por cómo me complementas siendo mi polo opuesto
85,Por tu paciencia conmigo cuando me pongo intenso
86,Por tu humildad y sencillez
87,Porque eres la única que tiene la llave de mis sentimientos
88,Por el brillo que le das a mi vida desde que regresaste
89,Porque eres mi Cielo y mi todo
90,Porque te elijo hoy y siempre pase lo que pase
91,Por cuidarme a la distancia
92,Porque eres la razón por la que no me rindo
93,Por las canciones que compartimos
94,Porque no necesito razones para amarte pero me gusta recordártelas
95,Por quitarme la culpa que sentías al ser honesta
96,Porque ahora nuestra relación empezó de verdad sin secretos
97,Por la sensación de alivio que me diste con tu último mensaje
98,Porque me haces sentir que mi amor sí es correspondido de verdad
99,Por el apoyo incondicional que siento de tu parte
100,Porque cada día encuentro una razón nueva para estar a tu lado
101,Porque eres tú y siempre serás tú
